getsockname(4, {sa_family=AF_INET, sin_port=htons(8000), sin_addr=inet_addr("127.0.0.1")}, [16]) = 0
mmap(0x817e0000, 20480, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x817e0000
mprotect(0x817e0000, 20480, PROT_READ)  = 0
read(4, "p", 1)                         = 1
read(4, "t", 1)                         = 1
read(4, "-", 1)                         = 1
read(4, "E", 1)                         = 1
read(4, "n", 1)                         = 1
read(4, "c", 1)                         = 1
read(4, "o", 1)                         = 1
read(4, "d", 1)                         = 1
read(4, "i", 1)                         = 1
read(4, "n", 1)                         = 1
read(4, "g", 1)                         = 1
read(4, ":", 1)                         = 1
read(4, " ", 1)                         = 1
read(4, "i", 1)                         = 1
read(4, "d", 1)                         = 1
read(4, "e", 1)                         = 1
read(4, "n", 1)                         = 1
read(4, "t", 1)                         = 1
read(4, "i", 1)                         = 1
read(4, "t", 1)                         = 1
read(4, "y", 1)                         = 1
read(4, "\r", 1)                        = 1
read(4, "\n", 1)                        = 1
read(4, "H", 1)                         = 1
read(4, "o", 1)                         = 1
read(4, "s", 1)                         = 1
read(4, "t", 1)                         = 1
read(4, ":", 1)                         = 1
read(4, " ", 1)                         = 1
read(4, "l", 1)                         = 1
read(4, "o", 1)                         = 1
read(4, "c", 1)                         = 1
read(4, "a", 1)                         = 1
read(4, "l", 1)                         = 1
read(4, "h", 1)                         = 1
read(4, "o", 1)                         = 1
read(4, "s", 1)                         = 1
read(4, "t", 1)                         = 1
read(4, ":", 1)                         = 1
read(4, "8", 1)                         = 1
read(4, "0", 1)                         = 1
read(4, "0", 1)                         = 1
read(4, "0", 1)                         = 1
read(4, "\r", 1)                        = 1
read(4, "\n", 1)                        = 1
read(4, "C", 1)                         = 1
read(4, "o", 1)                         = 1
read(4, "n", 1)                         = 1
read(4, "n", 1)                         = 1
read(4, "e", 1)                         = 1
read(4, "c", 1)                         = 1
read(4, "t", 1)                         = 1
read(4, "i", 1)                         = 1
read(4, "o", 1)                         = 1
read(4, "n", 1)                         = 1
read(4, ":", 1)                         = 1
read(4, " ", 1)                         = 1
read(4, "K", 1)                         = 1
read(4, "e", 1)                         = 1
read(4, "e", 1)                         = 1
read(4, "p", 1)                         = 1
read(4, "-", 1)                         = 1
read(4, "A", 1)                         = 1
read(4, "l", 1)                         = 1
read(4, "i", 1)                         = 1
read(4, "v", 1)                         = 1
read(4, "e", 1)                         = 1
read(4, "\r", 1)                        = 1
read(4, "\n", 1)                        = 1
read(4, "\r", 1)                        = 1
read(4, "\n", 1)                        = 1
mmap(0x817d9000, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x817d9000
mprotect(0x817d9000, 4096, PROT_READ)   = 0
mmap(0x817d8000, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x817d8000
mprotect(0x817d8000, 4096, PROT_READ)   = 0
mmap(0x817d6000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x817d6000
mprotect(0x817d6000, 8192, PROT_READ)   = 0
write(4, "H", 1)                        = 1
write(4, "T", 1)                        = 1
write(4, "T", 1)                        = 1
write(4, "P", 1)                        = 1
write(4, "/", 1)                        = 1
write(4, "1", 1)                        = 1
write(4, ".", 1)                        = 1
write(4, "0", 1)                        = 1
write(4, " ", 1)                        = 1
write(4, "4", 1)                        = 1
write(4, "0", 1)                        = 1
write(4, "3", 1)                        = 1
write(4, " ", 1)                        = 1
write(4, "F", 1)                        = 1
write(4, "o", 1)                        = 1
write(4, "r", 1)                        = 1
write(4, "b", 1)                        = 1
write(4, "i", 1)                        = 1
write(4, "d", 1)                        = 1
write(4, "d", 1)                        = 1
write(4, "e", 1)                        = 1
write(4, "n", 1)                        = 1
write(4, "\r", 1)                       = 1
write(4, "\n", 1)                       = 1
write(4, "\r", 1)                       = 1
write(4, "\n", 1)                       = 1
close(4)                                = 0
accept4(3, NULL, NULL, SOCK_NONBLOCK

